Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
016_BS_GLfiltered	4255	0.994	521.216	12.249%	66.175	10.692%	0.01469	0.989
017_BS_GLfiltered	3957	0.995	410.244	10.368%	58.148	10.196%	0.01118	0.99
017_SU_T1-R1filtered	19309	0.999	899.064	4.656%	117.714	4.332%	0.00229	0.998
017_SU_T1-R2filtered	5675	0.995	546.336	9.627%	73.082	9.648%	0.00865	0.989
017_SU_T1-R3filtered	11594	0.998	770.011	6.641%	103.661	6.307%	0.00403	0.996
017_SU_T1-R4filtered	11194	0.998	776.131	6.933%	103.53	6.727%	0.0043	0.995
018_BS_GLfiltered	1501	0.984	277.893	18.514%	35.977	17.939%	0.03438	0.962
018_SU_T1-R1filtered	5677	0.995	580.673	10.229%	76.833	10.211%	0.00991	0.987
018_SU_T1-R2filtered	8696	0.997	638.195	7.339%	87.011	7.098%	0.00657	0.995
018_SU_T1-R3filtered	4809	0.994	513.918	10.687%	67.174	10.535%	0.01184	0.986
018_SU_T1-R4filtered	4754	0.995	470.558	9.898%	64.932	10.217%	0.0101	0.987
019_BS_GL	3461	0.989	519.32	15.005%	74.693	14.648%	0.02272	0.979
019_SU_T1-R1	6605	0.994	774.49	11.726%	106.867	10.896%	0.01181	0.989
019_SU_T1-R2	12869	0.998	768.335	5.97%	104.879	5.529%	0.00402	0.997
035_BS_GLfiltered	6034	0.996	551.597	9.141%	72.912	8.486%	0.00741	0.993
035_SU_T1-R2filtered	9779	0.997	677.488	6.928%	101.6	7.256%	0.00419	0.995
035_SU_T1-R3filtered	2286	0.979	448.66	19.626%	62.972	20.367%	0.03467	0.951
037_BS_GL	3333	0.992	415.693	12.472%	59.293	12.44%	0.01463	0.984
037_SU_T1-R1filtered	11011	0.999	646.343	5.87%	86.926	5.4%	0.00305	0.997
037_SU_T1-R2filtered	8955	0.998	593.091	6.623%	77.109	5.894%	0.00384	0.997
037_SU_T1-R3	7099	0.997	565.245	7.962%	75.048	7.272%	0.00644	0.995
037_SU_T1-R4	8252	0.998	605.405	7.336%	82.005	6.855%	0.00534	0.995
037_SU_T1-R5	7946	0.998	577.119	7.263%	76.018	6.526%	0.00487	0.996
038_BS_GL	4531	0.994	510.252	11.261%	72.576	11.074%	0.0126	0.988
038_SU_T1-R1	3819	0.99	514.819	13.48%	74.491	13.919%	0.0178	0.98
038_SU_T1-R2	3408	0.986	536.778	15.751%	79.071	16.564%	0.02258	0.97
056_BS_GLfiltered	6744	0.998	486.325	7.211%	64.908	6.491%	0.00492	0.996
056_SU_T1-R3filtered	7937	0.997	623.149	7.851%	86.004	7.643%	0.00603	0.994
057_BS_GLfiltered	2747	0.992	367.199	13.367%	48.829	12.643%	0.01723	0.983
057_SU_T1-R1filtered	4976	0.994	480.362	9.654%	67.392	10.904%	0.00896	0.982
057_SU_T1-R2filtered	6816	0.996	604.553	8.87%	76.545	8.857%	0.00713	0.989
