NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	774.324	14.348	108.924	14.332	0.022	0.975	0.0
2	761.961	14.334	105.693	14.17	0.022	0.975	0.0
3	757.086	13.999	105.964	14.025	0.021	0.975	0.0
4	767.787	14.168	107.104	14.137	0.021	0.975	0.0
5	765.589	14.039	107.126	13.917	0.021	0.976	0.0
6	768.768	14.331	107.053	14.185	0.022	0.975	0.0
7	762.343	14.085	106.696	14.035	0.021	0.976	0.0
8	771.316	14.445	107.492	14.354	0.022	0.974	0.0
9	778.074	14.389	106.556	14.099	0.021	0.975	0.0
10	760.702	14.033	105.637	13.911	0.021	0.976	0.0
11	779.961	14.506	109.496	14.516	0.022	0.974	0.0
12	760.744	14.188	106.758	14.255	0.022	0.974	0.0
13	764.671	14.27	105.7	14.05	0.022	0.975	0.0
14	768.181	14.173	106.681	14.021	0.022	0.976	0.0
15	775.393	14.351	107.724	14.118	0.022	0.976	0.0
16	768.204	14.243	107.966	14.294	0.022	0.975	0.0
17	773.938	14.292	106.986	14.103	0.021	0.975	0.0
18	773.413	14.297	108.135	14.202	0.022	0.975	0.0
19	751.898	13.964	104.088	13.78	0.021	0.976	0.0
20	757.19	14.028	106.022	14.002	0.021	0.976	0.0
21	767.247	14.328	107.421	14.282	0.022	0.975	0.0
22	764.263	14.118	105.874	13.918	0.021	0.976	0.0
23	772.046	14.422	108.21	14.407	0.022	0.974	0.0
24	757.984	14.188	105.725	14.031	0.022	0.975	0.0
25	769.696	14.2	107.634	14.052	0.022	0.976	0.0
26	779.599	14.352	108.957	14.25	0.021	0.975	0.0
27	771.705	14.29	108.742	14.344	0.021	0.974	0.0
28	769.716	14.39	109.096	14.405	0.022	0.974	0.0
29	757.623	14.076	105.889	13.974	0.021	0.976	0.0
30	763.799	14.172	107.047	14.12	0.021	0.975	0.0
31	754.315	13.861	104.858	13.721	0.021	0.977	0.0
32	759.521	14.182	106.158	14.099	0.022	0.975	0.0
33	771.643	14.272	107.861	14.236	0.022	0.975	0.0
34	759.124	14.069	107.389	14.158	0.021	0.975	0.0
35	761.935	14.223	105.156	14.034	0.022	0.975	0.0
36	769.411	14.279	107.486	14.199	0.022	0.975	0.0
37	761.435	14.154	106.022	13.985	0.022	0.976	0.0
38	774.132	14.203	108.847	14.228	0.021	0.975	0.0
39	773.338	14.362	107.412	14.225	0.022	0.975	0.0
40	763.495	14.265	106.009	14.007	0.022	0.976	0.0
41	768.438	14.228	107.888	14.141	0.022	0.975	0.0
42	775.071	14.291	108.382	14.186	0.022	0.975	0.0
43	770.111	14.28	108.573	14.279	0.022	0.975	0.0
44	767.929	14.205	107.672	14.232	0.021	0.975	0.0
45	767.479	14.193	107.247	14.093	0.021	0.976	0.0
46	760.002	13.999	106.605	13.984	0.021	0.976	0.0
47	767.488	14.176	107.476	14.171	0.021	0.975	0.0
48	758.721	14.127	106.083	14.131	0.022	0.975	0.0
49	773.048	14.294	108.625	14.344	0.021	0.974	0.0
50	766.671	14.179	108.184	14.173	0.022	0.976	0.0
51	782.019	14.494	108.944	14.407	0.022	0.974	0.0
52	778.208	14.391	108.593	14.331	0.022	0.974	0.0
53	760.056	14.05	106.221	13.999	0.021	0.976	0.0
54	764.116	14.219	106.878	14.21	0.022	0.975	0.0
55	774.793	14.434	107.815	14.278	0.022	0.974	0.0
