Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
016_BS_GLfiltered	4255	0.994	529.398	12.442%	67.558	10.916%	0.01486	0.988
017_BS_GLfiltered	3957	0.995	419.784	10.609%	57.831	10.14%	0.01066	0.99
017_SU_T1-R1filtered	19309	0.999	899.749	4.66%	117.532	4.325%	0.00229	0.998
017_SU_T1-R2filtered	5675	0.996	519.635	9.157%	69.93	9.232%	0.00763	0.99
017_SU_T1-R3filtered	11594	0.998	771.658	6.656%	104.178	6.338%	0.00393	0.996
017_SU_T1-R4filtered	11194	0.998	763.478	6.82%	101.426	6.59%	0.0042	0.995
018_BS_GLfiltered	1501	0.986	259.21	17.269%	33.506	16.706%	0.03153	0.967
018_SU_T1-R1filtered	5677	0.995	533.935	9.405%	71.611	9.517%	0.0078	0.989
018_SU_T1-R2filtered	8696	0.998	600.228	6.902%	81.765	6.67%	0.00544	0.995
018_SU_T1-R3filtered	4809	0.995	495.147	10.296%	65.558	10.282%	0.0112	0.987
018_SU_T1-R4filtered	4754	0.996	442.815	9.315%	58.554	9.213%	0.00844	0.99
019_BS_GL	3461	0.992	461.396	13.331%	65.216	12.79%	0.01725	0.985
019_SU_T1-R1	6605	0.995	736.016	11.143%	102.467	10.448%	0.01075	0.99
019_SU_T1-R2	12869	0.998	799.723	6.214%	109.687	5.782%	0.00444	0.997
035_BS_GLfiltered	6034	0.997	519.702	8.613%	69.723	8.115%	0.00711	0.993
035_SU_T1-R2filtered	9779	0.997	668.685	6.838%	99.24	7.088%	0.00422	0.995
035_SU_T1-R3filtered	2286	0.979	443.575	19.404%	62.684	20.274%	0.03374	0.951
037_BS_GL	3333	0.993	386.157	11.586%	57.183	11.997%	0.01323	0.985
037_SU_T1-R1filtered	11011	0.999	647.97	5.885%	86.69	5.385%	0.00314	0.997
037_SU_T1-R2filtered	8955	0.998	578.305	6.458%	77.272	5.906%	0.00375	0.997
037_SU_T1-R3	7099	0.998	548.573	7.727%	72.794	7.054%	0.00593	0.995
037_SU_T1-R4	8252	0.998	606.638	7.351%	82.15	6.867%	0.00532	0.995
037_SU_T1-R5	7946	0.998	575.981	7.249%	76.056	6.529%	0.00488	0.996
038_BS_GL	4531	0.994	495.891	10.944%	71.405	10.895%	0.01194	0.988
038_SU_T1-R1	3819	0.993	471.711	12.352%	63.618	11.887%	0.01375	0.985
038_SU_T1-R2	3408	0.992	464.064	13.617%	61.347	12.851%	0.01607	0.982
056_BS_GLfiltered	6744	0.998	480.264	7.121%	64.437	6.444%	0.00502	0.996
056_SU_T1-R3filtered	7937	0.997	616.222	7.764%	83.745	7.442%	0.0055	0.994
057_BS_GLfiltered	2747	0.994	325.991	11.867%	43.372	11.23%	0.01451	0.987
057_SU_T1-R1filtered	4976	0.996	411.94	8.279%	56.023	9.064%	0.00648	0.987
057_SU_T1-R2filtered	6816	0.997	563.917	8.273%	70.992	8.214%	0.00627	0.99
058_BS_GLfiltered	2731	0.991	373.463	13.675%	50.638	13.223%	0.01701	0.981
058_SU_T1-R1filtered	7299	0.997	586.341	8.033%	81.697	7.696%	0.00684	0.994
058_SU_T1-R2filtered	10071	0.998	677.379	6.726%	94.096	6.406%	0.00488	0.996
059_SU_T1-R1filtered	1851	0.985	316.073	17.076%	46.344	17.333%	0.0275	0.97
059_SU_T1-R2filtered	1658	0.986	281.549	16.981%	38.879	16.564%	0.02813	0.971
065_BS_GLfiltered	1839	0.985	322.904	17.559%	43.136	17.113%	0.0303	0.967
065_SU_T1-R1filtered	14910	0.999	546.751	3.667%	73.67	3.477%	0.00131	0.999
065_SU_T1-R2filtered	14106	0.999	638.401	4.526%	89.25	4.435%	0.00176	0.998
065_SU_T1-R3filtered	8057	0.997	578.989	7.186%	81.95	7.416%	0.00474	0.994
065_SU_T1-R4filtered	10236	0.998	602.816	5.889%	82.348	5.878%	0.00322	0.996
065_SU_T1-R5filtered	11084	0.999	581.507	5.246%	77.91	5.042%	0.00276	0.997
065_SU_T1-R6filtered	12949	0.999	613.826	4.74%	83.947	4.579%	0.00191	0.998
065_SU_T1-R7filtered	2637	0.987	406.006	15.397%	55.34	16.0%	0.02374	0.967
066_SU_T1-R1filtered	7955	0.997	672.817	8.458%	91.952	8.063%	0.00762	0.993
066_SU_T1-R2filtered	6582	0.996	626.597	9.52%	82.918	8.945%	0.00863	0.992
080_BS_GLfiltered	6298	0.994	694.983	11.035%	99.368	10.839%	0.01078	0.989
081_BS_GLfiltered	2428	0.99	347.561	14.315%	47.897	13.974%	0.02102	0.98
081_SU_T1-R1filtered	3006	0.991	395.031	13.141%	55.974	13.585%	0.01849	0.979
081_SU_T1-R5filtered	3355	0.992	418.984	12.488%	57.899	12.946%	0.01332	0.98
081_SU_T1-R6filtered	3568	0.993	439.576	12.32%	60.427	12.074%	0.01319	0.984
082_BS_GL	4060	0.991	553.982	13.645%	75.361	13.417%	0.01599	0.98
