NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	803.99	14.942	113.42	15.01	0.024	0.972	0.0
2	795.331	15.006	110.437	14.91	0.024	0.972	0.0
3	789.949	14.663	111.312	14.791	0.023	0.973	0.0
4	797.355	14.75	112.175	14.84	0.023	0.972	0.0
5	798.433	14.683	112.151	14.62	0.023	0.974	0.0
6	801.868	15.008	112.364	14.942	0.024	0.972	0.0
7	794.084	14.714	111.377	14.701	0.023	0.973	0.0
8	798.433	14.932	111.956	14.963	0.024	0.972	0.0
9	803.685	14.922	110.736	14.75	0.023	0.972	0.0
10	790.687	14.661	110.69	14.655	0.023	0.973	0.0
11	809.536	15.137	114.115	15.194	0.024	0.971	0.0
12	796.188	14.914	111.877	14.985	0.024	0.972	0.0
13	793.797	14.887	110.457	14.835	0.024	0.972	0.0
14	794.93	14.681	111.024	14.611	0.023	0.974	0.0
15	808.494	15.026	112.826	14.884	0.024	0.972	0.0
16	803.746	14.936	113.452	15.068	0.024	0.972	0.0
17	802.739	14.908	111.775	14.823	0.023	0.972	0.0
18	802.736	14.9	112.655	14.889	0.024	0.972	0.0
19	781.768	14.591	108.658	14.483	0.023	0.974	0.0
20	790.288	14.714	111.02	14.766	0.023	0.972	0.0
21	800.035	15.052	112.985	15.124	0.024	0.971	0.0
22	796.299	14.77	110.937	14.658	0.023	0.973	0.0
23	802.146	14.95	112.416	14.977	0.024	0.971	0.0
24	787.534	14.809	109.925	14.671	0.024	0.973	0.0
25	804.489	14.955	112.98	14.896	0.024	0.972	0.0
26	813.452	15.015	114.587	15.016	0.023	0.972	0.0
27	799.345	14.871	112.922	14.958	0.023	0.972	0.0
28	803.176	15.086	114.222	15.154	0.025	0.971	0.0
29	789.373	14.682	110.337	14.584	0.023	0.973	0.0
30	793.74	14.814	111.926	14.86	0.024	0.972	0.0
31	787.018	14.539	109.891	14.465	0.023	0.974	0.0
32	793.871	14.823	111.579	14.851	0.024	0.972	0.0
33	802.6	14.859	112.685	14.921	0.024	0.972	0.0
34	789.333	14.694	112.43	14.946	0.024	0.972	0.0
35	794.901	14.876	110.493	14.787	0.024	0.972	0.0
36	802.082	14.909	112.588	14.943	0.024	0.972	0.0
37	790.962	14.759	110.662	14.66	0.024	0.973	0.0
38	805.837	14.812	113.425	14.876	0.023	0.973	0.0
39	804.646	14.954	112.044	14.891	0.024	0.972	0.0
40	792.414	14.855	110.64	14.719	0.024	0.973	0.0
41	801.143	14.904	112.437	14.829	0.024	0.973	0.0
42	809.459	15.008	113.995	15.033	0.024	0.972	0.0
43	801.391	14.938	113.319	14.998	0.024	0.972	0.0
44	801.609	14.893	112.946	14.998	0.023	0.972	0.0
45	796.106	14.838	111.786	14.819	0.024	0.973	0.0
46	789.835	14.594	111.098	14.633	0.023	0.974	0.0
47	800.649	14.84	112.523	14.941	0.023	0.972	0.0
48	790.579	14.764	110.866	14.833	0.024	0.972	0.0
49	805.069	14.901	113.129	14.954	0.023	0.972	0.0
50	798.57	14.855	113.24	14.927	0.024	0.973	0.0
51	807.339	14.973	113.045	14.967	0.024	0.972	0.0
52	803.857	14.924	112.997	15.01	0.024	0.972	0.0
53	793.65	14.748	111.643	14.774	0.023	0.973	0.0
